년,월,국적지역,체류외국인 수
2022,02,불가리아,173
2022,02,크로아티아,160
2022,02,리투아니아,160
2022,02,조지아,103
2022,02,슬로바크,94
2022,02,라트비아,84
2022,02,세르비아,78
2022,02,영국외지민,77
2022,02,아르메니아,71
2022,02,슬로베니아,58
2022,02,몰도바,57
2022,02,에스토니아,54
2022,02,알바니아,44
2022,02,룩셈부르크,24
2022,02,몰타,17
2022,02,아이슬란드,16
2022,02,마케도니아,13
2022,02,몬테네그로,11
2022,02,보스니아헤르체고비나,10
2022,02,코소보,5
2022,02,교황청,2
2022,02,유고슬라비아,1
2022,02,영국외지시민,1
2022,02,영국속령지시민,1
2022,02,안도라,1
2022,02,스발바르,1
2022,02,세르비아몬테네그로,1
2022,02,산마리노,1
2022,02,모나코,1
2022,02,오스트레일리아,7570
2022,02,뉴질랜드,3479
2022,02,피지,74
2022,02,마샬군도,15
2022,02,바누아투,14
2022,02,파푸아뉴기니,13
2022,02,팔라우,10
2022,02,미이크로네시아,9
2022,02,솔로몬군도,6
2022,02,통가,5
2022,02,사모아,5
2022,02,나우루,5
2022,02,키리바시,1
2022,02,남아프리카공화국,2923
2022,02,이집트,2807
2022,02,나이지리아,2780
2022,02,모로코,1449
2022,02,가나,1380
2022,02,에티오피아,1071
2022,02,카메룬,879
2022,02,리비아,768
2022,02,우간다,532
2022,02,라이베리아,518
2022,02,알제리,470
2022,02,케냐,428
2022,02,탄자니아,340
2022,02,튀니지,335
2022,02,세네갈,330
2022,02,수단,286
2022,02,르완다,271
2022,02,기니,271
2022,02,콩고민주공화국,267
2022,02,말리,220
2022,02,코트디부아르,218
2022,02,앙골라,147
2022,02,부룬디,144
2022,02,감비아,129
2022,02,짐바브웨,121
2022,02,잠비아,100
2022,02,시에라리온,92
2022,02,가봉,88
2022,02,모잠비크,60
2022,02,부르키나파소,51
2022,02,토고,46
2022,02,말라위,38
2022,02,콩고,32
2022,02,마다가스카르,32
2022,02,남수단공화국,27
2022,02,베냉,25
2022,02,소말리아,24
2022,02,에스와티니,22
2022,02,보츠와나,22
2022,02,기니비사우,22
2022,02,모리셔스,20
2022,02,모리타니,16
2022,02,에리트레아,15
2022,02,차드,12
2022,02,중앙아프리카공화국,10
2022,02,적도기니,10
2022,02,니제르,9
2022,02,자이르,7
2022,02,레소토,6
2022,02,코모로,5
2022,02,지부티,5
2022,02,세이셸,3
2022,02,상투메프린시페,2
2022,02,나미비아,2
2022,02,카보베르데,1
2022,02,무국적,148
2022,02,미등록국가,58
2022,02,국제연합,49
2022,02,미상,1
2022,03,가나,1369
2022,03,가봉,92
2022,03,가이아나,4
2022,03,감비아,128
2022,03,과테말라,122
2022,03,교황청,2
2022,03,국제연합,54
2022,03,그레나다,1
2022,03,그리스,322
2022,03,기니,272
2022,03,기니비사우,22
2022,03,나미비아,2
2022,03,나우루,5
2022,03,나이지리아,2810
2022,03,남수단공화국,27
2022,03,남아프리카공화국,2961
2022,03,네덜란드,1110
2022,03,네팔,37692
2022,03,노르웨이,383
2022,03,뉴질랜드,3495
2022,03,니제르,9
2022,03,니카라과,44
2022,03,덴마크,400
2022,03,도미니카공화국,102
2022,03,도미니카연방,18
2022,03,독일,4745
2022,03,라오스,1756
2022,03,라이베리아,520
2022,03,라트비아,89
2022,03,러시아연방,49040
2022,03,레바논,46
2022,03,레소토,6
2022,03,루마니아,400
2022,03,룩셈부르크,24
2022,03,르완다,269
2022,03,리비아,842
2022,03,리투아니아,137
2022,03,마다가스카르,31
2022,03,마샬군도,15
2022,03,마카오,105
2022,03,마케도니아,13
2022,03,말라위,38
2022,03,말레이시아,5221
2022,03,말리,221
2022,03,멕시코,1123
2022,03,모나코,1
2022,03,모로코,1459
2022,03,모리셔스,20
2022,03,모리타니,15
2022,03,모잠비크,45
2022,03,몬테네그로,16
2022,03,몰도바,55
2022,03,몰디브,2
2022,03,몰타,17
2022,03,몽골,37846
2022,03,무국적,149
2022,03,미국,145483
2022,03,미등록국가,55
2022,03,미상,1
2022,03,미얀마,26249
2022,03,미이크로네시아,10
2022,03,바누아투,14
2022,03,바레인,30
2022,03,바베이도스,8
2022,03,바하마,5
2022,03,방글라데시,17046
2022,03,베냉,26
2022,03,베네수엘라,219
2022,03,베트남,205447
2022,03,벨기에,603
2022,03,벨로루시,297
2022,03,벨리즈,9
2022,03,보스니아헤르체고비나,9
2022,03,보츠와나,21
2022,03,볼리비아,75
2022,03,부룬디,150
2022,03,부르키나파소,50
2022,03,부베트,1
2022,03,부탄,39
2022,03,불가리아,170
2022,03,브라질,1679
2022,03,브루나이,122
2022,03,사모아,5
2022,03,사우디아라비아,931
2022,03,산마리노,1
2022,03,상투메프린시페,2
2022,03,세네갈,331
2022,03,세르비아,78
2022,03,세르비아몬테네그로,1
2022,03,세이셸,3
2022,03,세인트루시아,3
2022,03,세인트빈센트그레나딘,1
2022,03,세인트크리스토퍼네비스,17
2022,03,소말리아,24
2022,03,솔로몬군도,6
2022,03,수단,289
2022,03,수리남,6
2022,03,스리랑카,20452
2022,03,스발바르,1
2022,03,스웨덴,781
2022,03,스위스,572
2022,03,스페인,1429
2022,03,슬로바크,101
2022,03,슬로베니아,57
2022,03,시리아,1561
2022,03,시에라리온,93
2022,03,싱가포르,1966
2022,03,아랍에미리트연합,594
2022,03,아르메니아,74
2022,03,아르헨티나,472
2022,03,아이슬란드,15
2022,03,아이티,42
2022,03,아일랜드,715
2022,03,아제르바이잔,267
2022,03,아프가니스탄,851
2022,03,안도라,2
2022,03,알바니아,45
2022,03,알제리,473
2022,03,앙골라,142
2022,03,앤티카바부다,1
2022,03,에리트레아,17
2022,03,에스와티니,21
2022,03,에스토니아,60
2022,03,에콰도르,279
2022,03,에티오피아,1080
2022,03,엘살바도르,61
2022,03,영국,6797
2022,03,영국속령지시민,1
2022,03,영국외지민,80
2022,03,영국외지시민,1
2022,03,예멘공화국,1084
2022,03,오만,57
2022,03,오스트레일리아,7698
2022,03,오스트리아,385
2022,03,온두라스,72
2022,03,요르단,544
2022,03,우간다,523
2022,03,우루과이,41
2022,03,우즈베키스탄,66821
2022,03,우크라이나,3917
2022,03,유고슬라비아,1
2022,03,이라크,564
2022,03,이란,1931
2022,03,이스라엘,255
2022,03,이집트,2833
2022,03,이탈리아,1355
2022,03,인도,11884
2022,03,인도네시아,35991
2022,03,일본,29260
2022,03,자메이카,62
2022,03,자이르,7
2022,03,잠비아,102
2022,03,적도기니,10
2022,03,조지아,103
2022,03,중국,225982
2022,03,중앙아프리카공화국,10
2022,03,지부티,5
2022,03,짐바브웨,118
2022,03,차드,11
2022,03,체코,231
2022,03,칠레,295
2022,03,카메룬,868
2022,03,카보베르데,1
2022,03,카자흐스탄,29026
2022,03,카타르,42
2022,03,캄보디아,42059
2022,03,캐나다,23044
2022,03,케냐,445
2022,03,코모로,5
2022,03,코소보,6
2022,03,코스타리카,104
2022,03,코트디부아르,208
2022,03,콜롬비아,557
2022,03,콩고,33
2022,03,콩고민주공화국,267
2022,03,쿠바,38
2022,03,쿠웨이트,70
2022,03,크로아티아,114
2022,03,키르기즈,6479
2022,03,키리바시,1
2022,03,키프로스,31
2022,03,태국,171261
2022,03,타이완,18738
2022,03,타지키스탄,1287
2022,03,탄자니아,327
2022,03,터키,2099
2022,03,토고,46
2022,03,통가,5
2022,03,투르크메니스탄,443
2022,03,튀니지,341
2022,03,트리니다드토바고,24
2022,03,티모르민주공화국,2553
2022,03,파나마,82
2022,03,파라과이,207
2022,03,파키스탄,12495
2022,03,파푸아뉴기니,13
2022,03,팔라우,10
2022,03,팔레스타인,66
2022,03,페루,746
2022,03,포르투갈,207
2022,03,폴란드,603
2022,03,프랑스,5773
2022,03,피지,73
2022,03,핀란드,372
2022,03,필리핀,46825
2022,03,한국계중국인,609084
2022,03,헝가리,230
2022,03,홍콩,2471
2022,03,홍콩거주난민,14
2022,04,미상,1
2022,04,가나,1385
2022,04,가봉,93
2022,04,가이아나,5
2022,04,감비아,128
2022,04,과테말라,127
2022,04,교황청,3
2022,04,국제연합,57
2022,04,그레나다,1
2022,04,그리스,313
2022,04,기니,268
2022,04,기니비사우,21
2022,04,나미비아,1
2022,04,나우루,5
2022,04,나이지리아,2811
2022,04,남수단공화국,26
2022,04,남아프리카공화국,3103
2022,04,네덜란드,1501
2022,04,네팔,38167
2022,04,노르웨이,480
2022,04,뉴질랜드,3652
2022,04,니제르,9
2022,04,니카라과,46
2022,04,덴마크,496
2022,04,도미니카공화국,118
2022,04,도미니카연방,20
2022,04,독일,5334
2022,04,라오스,1964
2022,04,라이베리아,522
2022,04,라트비아,88
2022,04,러시아연방,49443
2022,04,레바논,62
2022,04,레소토,7
2022,04,루마니아,386
2022,04,룩셈부르크,28
2022,04,르완다,275
2022,04,리비아,777
2022,04,리투아니아,174
2022,04,마다가스카르,33
2022,04,마샬군도,16
2022,04,마카오,107
2022,04,말라위,38
2022,04,말레이시아,5453
2022,04,말리,222
2022,04,멕시코,1244
2022,04,모로코,1472
2022,04,모리셔스,22
2022,04,모리타니,15
2022,04,모잠비크,46
2022,04,몬테네그로,10
2022,04,몰도바,54
2022,04,몰디브,3
2022,04,몰타,18
2022,04,몽골,38067
2022,04,무국적,146
2022,04,미국,153528
2022,04,미등록국가,54
2022,04,미상,1
2022,04,미얀마,26434
2022,04,미이크로네시아,10
2022,04,바누아투,18
2022,04,바레인,12
2022,04,바베이도스,9
2022,04,바하마,6
2022,04,방글라데시,17668
2022,04,베냉,26
2022,04,베네수엘라,221
2022,04,베트남,206518
2022,04,벨기에,672
2022,04,벨로루시,305
2022,04,벨리즈,9
2022,04,보스니아헤르체고비나,11
2022,04,보츠와나,21
2022,04,볼리비아,72
2022,04,부룬디,163
2022,04,부르키나파소,50
2022,04,부베트,1
2022,04,부탄,40
2022,04,북마케도니아,14
2022,04,불가리아,173
2022,04,브라질,1863
2022,04,브루나이,122
2022,04,사모아,5
2022,04,사우디아라비아,912
2022,04,산마리노,1
2022,04,상투메프린시페,2
2022,04,세네갈,329
2022,04,세르비아,91
2022,04,세르비아몬테네그로,1
2022,04,세이셸,3
2022,04,세인트루시아,2
2022,04,세인트빈센트그레나딘,1
2022,04,세인트크리스토퍼네비스,20
2022,04,소말리아,24
2022,04,솔로몬군도,8
2022,04,수단,293
2022,04,수리남,6
2022,04,스리랑카,20182
2022,04,스발바르,1
2022,04,스웨덴,881
2022,04,스위스,719
2022,04,스페인,1679
2022,04,슬로바크,113
2022,04,슬로베니아,67
2022,04,시리아,1563
2022,04,시에라리온,92
2022,04,싱가포르,2506
2022,04,아랍에미리트연합,580
2022,04,아르메니아,73
2022,04,아르헨티나,513
2022,04,아이슬란드,18
2022,04,아이티,100
2022,04,아일랜드,778
2022,04,아제르바이잔,272
2022,04,아프가니스탄,855
2022,04,안도라,3
2022,04,알바니아,46
2022,04,알제리,471
2022,04,앙골라,150
2022,04,앤티카바부다,1
2022,04,에리트레아,15
2022,04,에스와티니,23
2022,04,에스토니아,66
2022,04,에콰도르,298
2022,04,에티오피아,1074
2022,04,엘살바도르,65
2022,04,영국,7203
2022,04,영국속령지시민,1
2022,04,영국외지민,80
2022,04,영국외지시민,1
2022,04,예멘공화국,1094
2022,04,오만,56
2022,04,오스트레일리아,8630
2022,04,오스트리아,440
2022,04,온두라스,77
2022,04,요르단,512
2022,04,우간다,523
2022,04,우루과이,46
2022,04,우즈베키스탄,67159
2022,04,우크라이나,4238
2022,04,유고슬라비아,1
2022,04,이라크,596
2022,04,이란,1938
2022,04,이스라엘,283
2022,04,이집트,2820
2022,04,이탈리아,1531
2022,04,인도,11987
2022,04,인도네시아,36064
2022,04,일본,29694
2022,04,자메이카,61
2022,04,자이르,7
2022,04,잠비아,107
2022,04,적도기니,9
2022,04,조지아,100
2022,04,중국,224295
2022,04,중앙아프리카공화국,10
2022,04,지부티,5
2022,04,짐바브웨,120
2022,04,차드,11
2022,04,체코,271
2022,04,칠레,346
2022,04,카메룬,856
2022,04,카보베르데,1
2022,04,카자흐스탄,29402
2022,04,카타르,47
2022,04,캄보디아,42122
2022,04,캐나다,25091
2022,04,케냐,430
2022,04,코모로,5
2022,04,코소보,6
2022,04,코스타리카,107
2022,04,코트디부아르,211
2022,04,콜롬비아,601
2022,04,콩고,36
2022,04,콩고민주공화국,268
2022,04,쿠바,38
2022,04,쿠웨이트,65
2022,04,크로아티아,122
2022,04,키르기즈,6710
2022,04,키리바시,1
2022,04,키프로스,33
2022,04,태국,171962
2022,04,타이완,18782
2022,04,타지키스탄,1391
2022,04,탄자니아,335
2022,04,터키,2638
2022,04,토고,47
2022,04,통가,5
2022,04,투르크메니스탄,438
2022,04,튀니지,350
2022,04,트리니다드토바고,24
2022,04,티모르민주공화국,2675
2022,04,파나마,84
2022,04,파라과이,214
2022,04,파키스탄,12679
2022,04,파푸아뉴기니,13
2022,04,팔라우,10
2022,04,팔레스타인,68
2022,04,페루,746
2022,04,포르투갈,243
2022,04,폴란드,732
2022,04,프랑스,6976
2022,04,피지,78
2022,04,핀란드,425
2022,04,필리핀,47804
2022,04,한국계중국인,607510
2022,04,헝가리,244
2022,04,홍콩,2508
2022,04,홍콩거주난민,15
2022,05,가나,1390
2022,05,가봉,93
2022,05,가이아나,6
2022,05,감비아,127
2022,05,과테말라,132
2022,05,교황청,2
2022,05,국적불명,1
2022,05,국제연합,58
2022,05,그레나다,3
2022,05,그리스,335
2022,05,기니,268
2022,05,기니비사우,23
2022,05,나미비아,2
2022,05,나우루,6
2022,05,나이지리아,2848
2022,05,남수단공화국,26
2022,05,남아프리카공화국,3179
2022,05,네덜란드,1467
2022,05,네팔,38584
2022,05,노르웨이,481
2022,05,뉴질랜드,3896
2022,05,니제르,9
2022,05,니카라과,49
2022,05,덴마크,522
2022,05,도미니카공화국,121
2022,05,도미니카연방,20
2022,05,독일,5847
2022,05,라오스,2270
2022,05,라이베리아,520
2022,05,라트비아,105
2022,05,러시아연방,50248
2022,05,레바논,48
2022,05,레소토,15
2022,05,루마니아,392
2022,05,룩셈부르크,31
2022,05,르완다,277
2022,05,리비아,787
2022,05,리투아니아,161
2022,05,마다가스카르,30
2022,05,마샬군도,16
2022,05,마카오,108
2022,05,말라위,38
2022,05,말레이시아,5784
2022,05,말리,234
2022,05,멕시코,1218
2022,05,모로코,1550
2022,05,모리셔스,27
2022,05,모리타니,15
2022,05,모잠비크,45
2022,05,몬테네그로,16
2022,05,몰도바,53
2022,05,몰디브,3
2022,05,몰타,22
2022,05,몽골,38185
2022,05,무국적,151
2022,05,미국,159717
2022,05,미등록국가,55
2022,05,미상,1
2022,05,미얀마,26967
2022,05,미이크로네시아,10
2022,05,바누아투,15
2022,05,바레인,15
2022,05,바베이도스,8
2022,05,바하마,5
2022,05,방글라데시,18160
2022,05,베냉,26
2022,05,베네수엘라,212
2022,05,베트남,209194
2022,05,벨기에,704
2022,05,벨로루시,300
2022,05,벨리즈,10
2022,05,보스니아헤르체고비나,12
2022,05,보츠와나,25
2022,05,볼리비아,73
2022,05,부룬디,164
2022,05,부르키나파소,50
2022,05,부베트,1
2022,05,부탄,47
2022,05,북마케도니아,15
2022,05,불가리아,177
2022,05,브라질,1931
2022,05,브루나이,127
2022,05,사모아,5
2022,05,사우디아라비아,1078
2022,05,산마리노,1
2022,05,상투메프린시페,2
2022,05,세네갈,333
2022,05,세르비아,90
2022,05,세르비아몬테네그로,1
2022,05,세이셸,3
2022,05,세인트루시아,4
2022,05,세인트빈센트그레나딘,1
2022,05,세인트크리스토퍼네비스,20
2022,05,소말리아,24
2022,05,솔로몬군도,7
2022,05,수단,300
2022,05,수리남,6
2022,05,스리랑카,20159
2022,05,스발바르,1
2022,05,스웨덴,948
2022,05,스위스,744
2022,05,스페인,1681
2022,05,슬로바크,115
2022,05,슬로베니아,66
2022,05,시리아,1572
2022,05,시에라리온,100
2022,05,싱가포르,3203
2022,05,아랍에미리트연합,645
2022,05,아르메니아,70
2022,05,아르헨티나,516
2022,05,아이슬란드,13
2022,05,아이티,193
2022,05,아일랜드,792
2022,05,아제르바이잔,294
2022,05,아프가니스탄,856
2022,05,안도라,2
2022,05,알바니아,52
2022,05,알제리,482
2022,05,앙골라,149
2022,05,앤티카바부다,1
2022,05,에리트레아,15
2022,05,에스와티니,23
2022,05,에스토니아,64
2022,05,에콰도르,308
2022,05,에티오피아,1090
2022,05,엘살바도르,64
2022,05,영국,7592
2022,05,영국속령지시민,1
2022,05,영국외지민,83
2022,05,영국외지시민,1
2022,05,예멘공화국,1098
2022,05,오만,77
2022,05,오스트레일리아,9316
2022,05,오스트리아,511
2022,05,온두라스,75
2022,05,요르단,519
2022,05,우간다,517
2022,05,우루과이,49
2022,05,우즈베키스탄,68546
2022,05,우크라이나,4450
2022,05,유고슬라비아,1
2022,05,이라크,596
2022,05,이란,1986
2022,05,이스라엘,358
2022,05,이집트,2851
2022,05,이탈리아,1549
2022,05,인도,12585
2022,05,인도네시아,36399
2022,05,일본,30086
2022,05,자메이카,62
2022,05,자이르,7
2022,05,잠비아,109
2022,05,적도기니,12
2022,05,조지아,101
2022,05,중국,223307
2022,05,중앙아프리카공화국,13
2022,05,지부티,5
2022,05,짐바브웨,120
2022,05,차드,11
2022,05,체코,256
2022,05,칠레,328
2022,05,카메룬,857
2022,05,카보베르데,1
2022,05,카자흐스탄,31482
2022,05,카타르,62
2022,05,캄보디아,42341
2022,05,캐나다,26290
2022,05,케냐,428
2022,05,코모로,4
2022,05,코소보,5
2022,05,코스타리카,111
2022,05,코트디부아르,210
2022,05,콜롬비아,656
2022,05,콩고,34
2022,05,콩고민주공화국,272
2022,05,쿠바,39
2022,05,쿠웨이트,90
2022,05,크로아티아,114
2022,05,키르기즈,6849
2022,05,키리바시,1
2022,05,키프로스,33
2022,05,태국,174721
2022,05,타이완,18870
2022,05,타지키스탄,1436
2022,05,탄자니아,330
2022,05,터키,3315
2022,05,토고,48
2022,05,통가,5
2022,05,투르크메니스탄,438
2022,05,튀니지,365
2022,05,트리니다드토바고,25
2022,05,티모르민주공화국,2766
2022,05,파나마,84
2022,05,파라과이,218
2022,05,파키스탄,12788
2022,05,파푸아뉴기니,15
2022,05,팔라우,10
2022,05,팔레스타인,66
2022,05,페루,770
2022,05,포르투갈,275
2022,05,폴란드,742
2022,05,프랑스,7034
2022,05,피지,79
2022,05,핀란드,449
2022,05,필리핀,49296
2022,05,한국계중국인,606442
2022,05,헝가리,269
2022,05,홍콩,2577
2022,05,홍콩거주난민,15
2022,06,가나,1415
2022,06,가봉,94
2022,06,가이아나,5
2022,06,감비아,127
2022,06,과테말라,128
2022,06,교황청,2
2022,06,국적불명,1
2022,06,국제연합,55
2022,06,그레나다,2
2022,06,그리스,316
2022,06,기니,270
2022,06,기니비사우,23
2022,06,나미비아,1
2022,06,나우루,6
2022,06,나이지리아,2831
2022,06,남수단공화국,26
2022,06,남아프리카공화국,3224
2022,06,네덜란드,1491
2022,06,네팔,39971
2022,06,노르웨이,569
2022,06,뉴질랜드,4018
2022,06,니제르,9
2022,06,니카라과,50
2022,06,덴마크,542
2022,06,도미니카공화국,112
2022,06,도미니카연방,21
2022,06,독일,5870
2022,06,라오스,2339
2022,06,라이베리아,523
2022,06,라트비아,87
2022,06,러시아(연방),51271
2022,06,레바논,63
2022,06,레소토,7
2022,06,루마니아,366
2022,06,룩셈부르크,30
2022,06,르완다,274
2022,06,리비아,762
2022,06,리투아니아,183
2022,06,마다가스카르,30
2022,06,마샬군도,13
2022,06,마카오,110
2022,06,말라위,36
2022,06,말레이시아,6031
2022,06,말리,236
2022,06,멕시코,1345
2022,06,모로코,1590
2022,06,모리셔스,32
2022,06,모리타니,15
2022,06,모잠비크,50
